※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73
,,2025년01월,,,,,,2025년02월,,,,,,2025년03월,,,,,,2025년04월,,,,,,2025년05월,,,,,,2025년06월,,,,,,2025년07월,,,,,,2025년08월,,,,,,2025년09월,,,,,,2025년10월,,,,,,2025년11월,,,,,,2025년12월,,,,,
행정기관코드,행정기관,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1129000000,서울특별시 성북구 ,"417,931","194,247",          2.15,"200,167","217,764",          0.92,"417,807","194,811",          2.14,"200,014","217,793",          0.92,"417,619","195,071",          2.14,"199,866","217,753",          0.92,"418,842","195,684",          2.14,"200,379","218,463",          0.92,"420,309","196,393",          2.14,"201,028","219,281",          0.92,"421,298","196,994",          2.14,"201,477","219,821",          0.92,"421,532","197,246",          2.14,"201,509","220,023",          0.92,"421,423","197,366",          2.14,"201,440","219,983",          0.92,"421,301","197,465",          2.13,"201,272","220,029",          0.91,"421,029","197,352",          2.13,"201,153","219,876",          0.91,"420,676","197,231",          2.13,"200,969","219,707",          0.91,"419,929","196,999",          2.13,"200,592","219,337",          0.91
1130500000,서울특별시 강북구 ,"281,200","141,401",          1.99,"135,550","145,650",          0.93,"281,107","141,634",          1.98,"135,448","145,659",          0.93,"280,704","141,617",          1.98,"135,214","145,490",          0.93,"280,090","141,433",          1.98,"134,884","145,206",          0.93,"279,500","141,253",          1.98,"134,587","144,913",          0.93,"279,166","141,258",          1.98,"134,410","144,756",          0.93,"278,697","141,094",          1.98,"134,127","144,570",          0.93,"278,418","141,092",          1.97,"133,957","144,461",          0.93,"277,945","140,901",          1.97,"133,658","144,287",          0.93,"277,544","140,794",          1.97,"133,409","144,135",          0.93,"277,163","140,674",          1.97,"133,154","144,009",          0.92,"276,904","140,688",          1.97,"133,069","143,835",          0.93
1132000000,서울특별시 도봉구 ,"301,138","137,400",          2.19,"145,539","155,599",          0.94,"300,799","137,521",          2.19,"145,294","155,505",          0.93,"300,636","137,650",          2.18,"145,108","155,528",          0.93,"300,302","137,686",          2.18,"144,951","155,351",          0.93,"299,986","137,658",          2.18,"144,832","155,154",          0.93,"299,668","137,674",          2.18,"144,668","155,000",          0.93,"299,290","137,644",          2.17,"144,440","154,850",          0.93,"299,011","137,664",          2.17,"144,324","154,687",          0.93,"298,958","137,818",          2.17,"144,242","154,716",          0.93,"298,776","137,831",          2.17,"144,162","154,614",          0.93,"298,466","137,770",          2.17,"143,991","154,475",          0.93,"298,089","137,748",          2.16,"143,810","154,279",          0.93
1135000000,서울특별시 노원구 ,"488,000","215,777",          2.26,"233,805","254,195",          0.92,"487,400","216,002",          2.26,"233,450","253,950",          0.92,"487,552","216,806",          2.25,"233,597","253,955",          0.92,"486,731","216,658",          2.25,"233,108","253,623",          0.92,"485,798","216,392",          2.24,"232,627","253,171",          0.92,"484,946","216,058",          2.24,"232,180","252,766",          0.92,"483,894","215,637",          2.24,"231,659","252,235",          0.92,"483,185","215,398",          2.24,"231,265","251,920",          0.92,"483,258","215,754",          2.24,"231,265","251,993",          0.92,"483,044","215,709",          2.24,"231,145","251,899",          0.92,"482,482","215,497",          2.24,"230,782","251,700",          0.92,"481,373","215,115",          2.24,"230,223","251,150",          0.92
1138000000,서울특별시 은평구 ,"457,785","213,357",          2.15,"216,706","241,079",          0.90,"457,404","213,603",          2.14,"216,443","240,961",          0.90,"457,110","213,626",          2.14,"216,262","240,848",          0.90,"456,589","213,572",          2.14,"215,989","240,600",          0.90,"456,319","213,537",          2.14,"215,816","240,503",          0.90,"455,831","213,551",          2.13,"215,566","240,265",          0.90,"455,718","213,615",          2.13,"215,499","240,219",          0.90,"455,473","213,568",          2.13,"215,431","240,042",          0.90,"454,561","213,191",          2.13,"214,991","239,570",          0.90,"453,875","212,883",          2.13,"214,600","239,275",          0.90,"453,083","212,553",          2.13,"214,192","238,891",          0.90,"452,377","212,391",          2.13,"213,869","238,508",          0.90
1141000000,서울특별시 서대문구 ,"299,791","144,176",          2.08,"142,037","157,754",          0.90,"299,599","144,573",          2.07,"141,887","157,712",          0.90,"299,436","144,692",          2.07,"141,727","157,709",          0.90,"299,110","144,541",          2.07,"141,536","157,574",          0.90,"298,805","144,440",          2.07,"141,328","157,477",          0.90,"298,524","144,392",          2.07,"141,174","157,350",          0.90,"298,595","144,501",          2.07,"141,222","157,373",          0.90,"298,608","144,620",          2.06,"141,200","157,408",          0.90,"298,601","144,745",          2.06,"141,160","157,441",          0.90,"298,454","144,710",          2.06,"141,064","157,390",          0.90,"298,223","144,626",          2.06,"140,941","157,282",          0.90,"297,775","144,486",          2.06,"140,699","157,076",          0.90
1144000000,서울특별시 마포구 ,"357,836","178,752",          2.00,"166,596","191,240",          0.87,"357,633","179,015",          2.00,"166,405","191,228",          0.87,"357,394","178,941",          2.00,"166,243","191,151",          0.87,"357,032","178,893",          2.00,"166,015","191,017",          0.87,"356,715","178,739",          2.00,"165,809","190,906",          0.87,"356,530","178,712",          1.99,"165,702","190,828",          0.87,"356,055","178,564",          1.99,"165,450","190,605",          0.87,"355,957","178,583",          1.99,"165,369","190,588",          0.87,"355,688","178,541",          1.99,"165,144","190,544",          0.87,"355,484","178,382",          1.99,"164,986","190,498",          0.87,"355,095","178,218",          1.99,"164,749","190,346",          0.87,"354,616","178,156",          1.99,"164,509","190,107",          0.87
1147000000,서울특별시 양천구 ,"428,154","178,395",          2.40,"208,649","219,505",          0.95,"427,593","178,441",          2.40,"208,355","219,238",          0.95,"427,026","178,434",          2.39,"207,953","219,073",          0.95,"426,494","178,438",          2.39,"207,638","218,856",          0.95,"426,135","178,439",          2.39,"207,468","218,667",          0.95,"425,628","178,418",          2.39,"207,199","218,429",          0.95,"424,966","178,343",          2.38,"206,846","218,120",          0.95,"424,594","178,340",          2.38,"206,651","217,943",          0.95,"424,195","178,261",          2.38,"206,435","217,760",          0.95,"423,878","178,221",          2.38,"206,231","217,647",          0.95,"423,402","178,029",          2.38,"205,989","217,413",          0.95,"422,726","177,876",          2.38,"205,636","217,090",          0.95
1150000000,서울특별시 강서구 ,"552,277","271,477",          2.03,"264,177","288,100",          0.92,"551,310","271,463",          2.03,"263,680","287,630",          0.92,"550,765","271,397",          2.03,"263,287","287,478",          0.92,"549,966","271,232",          2.03,"262,901","287,065",          0.92,"549,246","271,001",          2.03,"262,479","286,767",          0.92,"548,688","270,979",          2.02,"262,137","286,551",          0.91,"548,664","271,304",          2.02,"262,100","286,564",          0.91,"548,060","271,284",          2.02,"261,759","286,301",          0.91,"547,496","271,156",          2.02,"261,471","286,025",          0.91,"547,103","271,142",          2.02,"261,319","285,784",          0.91,"546,806","271,142",          2.02,"261,097","285,709",          0.91,"546,594","271,373",          2.01,"260,986","285,608",          0.91
1153000000,서울특별시 구로구 ,"385,489","182,332",          2.11,"188,564","196,925",          0.96,"384,852","182,441",          2.11,"188,259","196,593",          0.96,"384,522","182,490",          2.11,"188,100","196,422",          0.96,"384,384","182,604",          2.11,"187,979","196,405",          0.96,"384,217","182,659",          2.10,"187,873","196,344",          0.96,"384,040","182,970",          2.10,"187,765","196,275",          0.96,"383,802","183,052",          2.10,"187,641","196,161",          0.96,"383,564","183,101",          2.09,"187,502","196,062",          0.96,"383,253","183,142",          2.09,"187,322","195,931",          0.96,"383,061","183,121",          2.09,"187,219","195,842",          0.96,"382,532","182,954",          2.09,"186,888","195,644",          0.96,"381,875","182,838",          2.09,"186,485","195,390",          0.95
