※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,2025년07월,,,,,,,,,2025년08월,,,,,,,,,2025년09월,,,,,,,,,2025년10월,,,,,,,,,2025년11월,,,,,,,,,2025년12월,,,,,,,,
,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,
행정기관코드,행정기관,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계
1129000000,서울특별시 성북구 ,"202,828","221,202","424,030","202,853","221,394","424,247",25,192,217,"202,853","221,394","424,247","202,781","221,348","424,129",-72,-46,-118,"202,781","221,348","424,129","202,601","221,390","423,991",-180,42,-138,"202,601","221,390","423,991","202,481","221,224","423,705",-120,-166,-286,"202,481","221,224","423,705","202,278","221,035","423,313",-203,-189,-392,"202,278","221,035","423,313","201,894","220,665","422,559",-384,-370,-754
1130500000,서울특별시 강북구 ,"135,541","145,747","281,288","135,251","145,562","280,813",-290,-185,-475,"135,251","145,562","280,813","135,072","145,442","280,514",-179,-120,-299,"135,072","145,442","280,514","134,794","145,274","280,068",-278,-168,-446,"134,794","145,274","280,068","134,522","145,110","279,632",-272,-164,-436,"134,522","145,110","279,632","134,265","144,945","279,210",-257,-165,-422,"134,265","144,945","279,210","134,160","144,768","278,928",-105,-177,-282
1132000000,서울특별시 도봉구 ,"145,641","155,913","301,554","145,399","155,762","301,161",-242,-151,-393,"145,399","155,762","301,161","145,279","155,600","300,879",-120,-162,-282,"145,279","155,600","300,879","145,194","155,626","300,820",-85,26,-59,"145,194","155,626","300,820","145,105","155,522","300,627",-89,-104,-193,"145,105","155,522","300,627","144,931","155,380","300,311",-174,-142,-316,"144,931","155,380","300,311","144,726","155,173","299,899",-205,-207,-412
1135000000,서울특별시 노원구 ,"233,269","253,947","487,216","232,753","253,420","486,173",-516,-527,"-1,043","232,753","253,420","486,173","232,349","253,109","485,458",-404,-311,-715,"232,349","253,109","485,458","232,341","253,185","485,526",-8,76,68,"232,341","253,185","485,526","232,209","253,081","485,290",-132,-104,-236,"232,209","253,081","485,290","231,876","252,883","484,759",-333,-198,-531,"231,876","252,883","484,759","231,254","252,287","483,541",-622,-596,"-1,218"
1138000000,서울특별시 은평구 ,"216,939","241,823","458,762","216,857","241,785","458,642",-82,-38,-120,"216,857","241,785","458,642","216,762","241,604","458,366",-95,-181,-276,"216,762","241,604","458,366","216,297","241,115","457,412",-465,-489,-954,"216,297","241,115","457,412","215,901","240,826","456,727",-396,-289,-685,"215,901","240,826","456,727","215,517","240,412","455,929",-384,-414,-798,"215,517","240,412","455,929","215,160","239,977","455,137",-357,-435,-792
1141000000,서울특별시 서대문구 ,"142,365","158,669","301,034","142,405","158,692","301,097",40,23,63,"142,405","158,692","301,097","142,369","158,727","301,096",-36,35,-1,"142,369","158,727","301,096","142,334","158,764","301,098",-35,37,2,"142,334","158,764","301,098","142,192","158,651","300,843",-142,-113,-255,"142,192","158,651","300,843","142,075","158,534","300,609",-117,-117,-234,"142,075","158,534","300,609","141,821","158,326","300,147",-254,-208,-462
1144000000,서울특별시 마포구 ,"167,151","192,471","359,622","166,881","192,244","359,125",-270,-227,-497,"166,881","192,244","359,125","166,788","192,221","359,009",-93,-23,-116,"166,788","192,221","359,009","166,572","192,172","358,744",-216,-49,-265,"166,572","192,172","358,744","166,399","192,124","358,523",-173,-48,-221,"166,399","192,124","358,523","166,175","191,936","358,111",-224,-188,-412,"166,175","191,936","358,111","165,919","191,697","357,616",-256,-239,-495
1147000000,서울특별시 양천구 ,"208,468","219,577","428,045","208,113","219,266","427,379",-355,-311,-666,"208,113","219,266","427,379","207,906","219,086","426,992",-207,-180,-387,"207,906","219,086","426,992","207,678","218,909","426,587",-228,-177,-405,"207,678","218,909","426,587","207,452","218,790","426,242",-226,-119,-345,"207,452","218,790","426,242","207,239","218,562","425,801",-213,-228,-441,"207,239","218,562","425,801","206,865","218,223","425,088",-374,-339,-713
1150000000,서울특별시 강서구 ,"263,809","288,090","551,899","263,763","288,085","551,848",-46,-5,-51,"263,763","288,085","551,848","263,414","287,820","551,234",-349,-265,-614,"263,414","287,820","551,234","263,123","287,546","550,669",-291,-274,-565,"263,123","287,546","550,669","262,953","287,295","550,248",-170,-251,-421,"262,953","287,295","550,248","262,775","287,227","550,002",-178,-68,-246,"262,775","287,227","550,002","262,638","287,073","549,711",-137,-154,-291
1153000000,서울특별시 구로구 ,"188,818","197,213","386,031","188,682","197,104","385,786",-136,-109,-245,"188,682","197,104","385,786","188,534","197,001","385,535",-148,-103,-251,"188,534","197,001","385,535","188,346","196,876","385,222",-188,-125,-313,"188,346","196,876","385,222","188,215","196,776","384,991",-131,-100,-231,"188,215","196,776","384,991","187,932","196,593","384,525",-283,-183,-466,"187,932","196,593","384,525","187,514","196,315","383,829",-418,-278,-696
