※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,2023년01월,,,,,,,,,2023년02월,,,,,,,,,2023년03월,,,,,,,,,2023년04월,,,,,,,,,2023년05월,,,,,,,,,2023년06월,,,,,,,,
,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,
행정기관코드,행정기관,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계
1000000000,전국  ,"25,636,951","25,802,087","51,439,038","25,631,538","25,798,480","51,430,018","-5,413","-3,607","-9,020","25,631,538","25,798,480","51,430,018","25,626,211","25,795,268","51,421,479","-5,327","-3,212","-8,539","25,626,211","25,795,268","51,421,479","25,621,573","25,792,708","51,414,281","-4,638","-2,560","-7,198","25,621,573","25,792,708","51,414,281","25,617,485","25,790,670","51,408,155","-4,088","-2,038","-6,126","25,617,485","25,790,670","51,408,155","25,612,361","25,788,160","51,400,521","-5,124","-2,510","-7,634","25,612,361","25,788,160","51,400,521","25,607,244","25,785,501","51,392,745","-5,117","-2,659","-7,776"
1100000000,서울특별시  ,"4,570,048","4,858,324","9,428,372","4,567,739","4,857,134","9,424,873","-2,309","-1,190","-3,499","4,567,739","4,857,134","9,424,873","4,567,957","4,859,626","9,427,583",218,"2,492","2,710","4,567,957","4,859,626","9,427,583","4,566,299","4,860,105","9,426,404","-1,658",479,"-1,179","4,566,299","4,860,105","9,426,404","4,563,512","4,859,198","9,422,710","-2,787",-907,"-3,694","4,563,512","4,859,198","9,422,710","4,560,702","4,858,183","9,418,885","-2,810","-1,015","-3,825","4,560,702","4,858,183","9,418,885","4,557,609","4,856,484","9,414,093","-3,093","-1,699","-4,792"
1111000000,서울특별시 종로구 ,"68,395","72,984","141,379","68,314","72,909","141,223",-81,-75,-156,"68,314","72,909","141,223","68,399","73,034","141,433",85,125,210,"68,399","73,034","141,433","68,170","72,890","141,060",-229,-144,-373,"68,170","72,890","141,060","68,079","72,812","140,891",-91,-78,-169,"68,079","72,812","140,891","67,923","72,678","140,601",-156,-134,-290,"67,923","72,678","140,601","67,834","72,563","140,397",-89,-115,-204
1114000000,서울특별시 중구 ,"58,563","61,874","120,437","58,443","61,874","120,317",-120,0,-120,"58,443","61,874","120,317","58,557","61,998","120,555",114,124,238,"58,557","61,998","120,555","58,699","62,264","120,963",142,266,408,"58,699","62,264","120,963","58,806","62,444","121,250",107,180,287,"58,806","62,444","121,250","58,845","62,501","121,346",39,57,96,"58,845","62,501","121,346","58,857","62,584","121,441",12,83,95
1117000000,서울특별시 용산구 ,"105,087","113,563","218,650","104,974","113,438","218,412",-113,-125,-238,"104,974","113,438","218,412","104,860","113,315","218,175",-114,-123,-237,"104,860","113,315","218,175","104,640","113,116","217,756",-220,-199,-419,"104,640","113,116","217,756","104,580","113,031","217,611",-60,-85,-145,"104,580","113,031","217,611","104,495","112,943","217,438",-85,-88,-173,"104,495","112,943","217,438","104,357","112,931","217,288",-138,-12,-150
1120000000,서울특별시 성동구 ,"136,633","144,367","281,000","136,442","144,265","280,707",-191,-102,-293,"136,442","144,265","280,707","136,361","144,113","280,474",-81,-152,-233,"136,361","144,113","280,474","136,233","144,007","280,240",-128,-106,-234,"136,233","144,007","280,240","136,059","143,921","279,980",-174,-86,-260,"136,059","143,921","279,980","135,931","143,829","279,760",-128,-92,-220,"135,931","143,829","279,760","135,723","143,651","279,374",-208,-178,-386
1121500000,서울특별시 광진구 ,"162,541","174,875","337,416","162,460","174,798","337,258",-81,-77,-158,"162,460","174,798","337,258","162,329","174,742","337,071",-131,-56,-187,"162,329","174,742","337,071","162,209","174,592","336,801",-120,-150,-270,"162,209","174,592","336,801","162,071","174,487","336,558",-138,-105,-243,"162,071","174,487","336,558","162,020","174,560","336,580",-51,73,22,"162,020","174,560","336,580","161,755","174,414","336,169",-265,-146,-411
1123000000,서울특별시 동대문구 ,"165,755","170,889","336,644","165,657","170,758","336,415",-98,-131,-229,"165,657","170,758","336,415","165,962","171,331","337,293",305,573,878,"165,962","171,331","337,293","165,933","171,641","337,574",-29,310,281,"165,933","171,641","337,574","165,936","171,756","337,692",3,115,118,"165,936","171,756","337,692","165,868","171,812","337,680",-68,56,-12,"165,868","171,812","337,680","166,040","172,075","338,115",172,263,435
1126000000,서울특별시 중랑구 ,"189,537","195,781","385,318","189,367","195,730","385,097",-170,-51,-221,"189,367","195,730","385,097","189,306","195,823","385,129",-61,93,32,"189,306","195,823","385,129","189,186","195,817","385,003",-120,-6,-126,"189,186","195,817","385,003","189,099","195,768","384,867",-87,-49,-136,"189,099","195,768","384,867","189,019","195,631","384,650",-80,-137,-217,"189,019","195,631","384,650","188,744","195,528","384,272",-275,-103,-378
1129000000,서울특별시 성북구 ,"206,961","223,436","430,397","206,716","223,251","429,967",-245,-185,-430,"206,716","223,251","429,967","206,753","223,417","430,170",37,166,203,"206,753","223,417","430,170","206,634","223,466","430,100",-119,49,-70,"206,634","223,466","430,100","206,367","223,384","429,751",-267,-82,-349,"206,367","223,384","429,751","206,319","223,370","429,689",-48,-14,-62,"206,319","223,370","429,689","206,043","223,099","429,142",-276,-271,-547
1130500000,서울특별시 강북구 ,"142,567","151,093","293,660","142,435","150,878","293,313",-132,-215,-347,"142,435","150,878","293,313","142,254","150,865","293,119",-181,-13,-194,"142,254","150,865","293,119","142,028","150,734","292,762",-226,-131,-357,"142,028","150,734","292,762","141,837","150,546","292,383",-191,-188,-379,"141,837","150,546","292,383","141,577","150,382","291,959",-260,-164,-424,"141,577","150,382","291,959","141,302","150,082","291,384",-275,-300,-575
1132000000,서울특별시 도봉구 ,"151,398","160,296","311,694","151,168","160,092","311,260",-230,-204,-434,"151,168","160,092","311,260","150,964","159,889","310,853",-204,-203,-407,"150,964","159,889","310,853","150,806","159,703","310,509",-158,-186,-344,"150,806","159,703","310,509","150,535","159,488","310,023",-271,-215,-486,"150,535","159,488","310,023","150,317","159,305","309,622",-218,-183,-401,"150,317","159,305","309,622","150,001","158,985","308,986",-316,-320,-636
1135000000,서울특별시 노원구 ,"242,145","261,589","503,734","241,694","261,141","502,835",-451,-448,-899,"241,694","261,141","502,835","241,743","261,077","502,820",49,-64,-15,"241,743","261,077","502,820","241,532","260,983","502,515",-211,-94,-305,"241,532","260,983","502,515","241,168","260,670","501,838",-364,-313,-677,"241,168","260,670","501,838","240,844","260,393","501,237",-324,-277,-601,"240,844","260,393","501,237","240,221","259,883","500,104",-623,-510,"-1,133"
1138000000,서울특별시 은평구 ,"222,592","244,154","466,746","222,263","243,974","466,237",-329,-180,-509,"222,263","243,974","466,237","221,790","243,837","465,627",-473,-137,-610,"221,790","243,837","465,627","221,350","243,521","464,871",-440,-316,-756,"221,350","243,521","464,871","220,904","243,313","464,217",-446,-208,-654,"220,904","243,313","464,217","220,559","243,053","463,612",-345,-260,-605,"220,559","243,053","463,612","220,342","242,956","463,298",-217,-97,-314
1141000000,서울특별시 서대문구 ,"145,816","160,521","306,337","146,294","160,983","307,277",478,462,940,"146,294","160,983","307,277","146,671","161,523","308,194",377,540,917,"146,671","161,523","308,194","146,732","161,705","308,437",61,182,243,"146,732","161,705","308,437","146,684","161,654","308,338",-48,-51,-99,"146,684","161,654","308,338","146,572","161,636","308,208",-112,-18,-130,"146,572","161,636","308,208","146,570","161,552","308,122",-2,-84,-86
1144000000,서울특별시 마포구 ,"171,043","193,595","364,638","171,114","193,824","364,938",71,229,300,"171,114","193,824","364,938","171,284","194,163","365,447",170,339,509,"171,284","194,163","365,447","171,215","194,355","365,570",-69,192,123,"171,215","194,355","365,570","171,058","194,229","365,287",-157,-126,-283,"171,058","194,229","365,287","170,922","194,361","365,283",-136,132,-4,"170,922","194,361","365,283","170,813","194,298","365,111",-109,-63,-172
1147000000,서울특별시 양천구 ,"215,682","225,199","440,881","215,557","225,074","440,631",-125,-125,-250,"215,557","225,074","440,631","215,195","224,847","440,042",-362,-227,-589,"215,195","224,847","440,042","214,703","224,516","439,219",-492,-331,-823,"214,703","224,516","439,219","214,455","224,393","438,848",-248,-123,-371,"214,455","224,393","438,848","214,331","224,310","438,641",-124,-83,-207,"214,331","224,310","438,641","214,173","224,180","438,353",-158,-130,-288
1150000000,서울특별시 강서구 ,"273,203","295,963","569,166","272,926","295,879","568,805",-277,-84,-361,"272,926","295,879","568,805","272,826","295,840","568,666",-100,-39,-139,"272,826","295,840","568,666","272,693","295,594","568,287",-133,-246,-379,"272,693","295,594","568,287","272,404","295,479","567,883",-289,-115,-404,"272,404","295,479","567,883","272,061","295,176","567,237",-343,-303,-646,"272,061","295,176","567,237","271,822","295,017","566,839",-239,-159,-398
1153000000,서울특별시 구로구 ,"194,274","201,041","395,315","194,304","201,157","395,461",30,116,146,"194,304","201,157","395,461","194,182","201,240","395,422",-122,83,-39,"194,182","201,240","395,422","194,039","201,144","395,183",-143,-96,-239,"194,039","201,144","395,183","193,938","201,161","395,099",-101,17,-84,"193,938","201,161","395,099","193,810","201,163","394,973",-128,2,-126,"193,810","201,163","394,973","193,729","201,104","394,833",-81,-59,-140
1154500000,서울특별시 금천구 ,"115,786","113,856","229,642","115,743","113,756","229,499",-43,-100,-143,"115,743","113,756","229,499","115,635","113,760","229,395",-108,4,-104,"115,635","113,760","229,395","115,624","113,683","229,307",-11,-77,-88,"115,624","113,683","229,307","115,578","113,750","229,328",-46,67,21,"115,578","113,750","229,328","115,453","113,798","229,251",-125,48,-77,"115,453","113,798","229,251","115,396","113,839","229,235",-57,41,-16
1156000000,서울특별시 영등포구 ,"184,660","191,015","375,675","184,840","191,301","376,141",180,286,466,"184,840","191,301","376,141","184,956","191,454","376,410",116,153,269,"184,956","191,454","376,410","184,973","191,641","376,614",17,187,204,"184,973","191,641","376,614","184,827","191,596","376,423",-146,-45,-191,"184,827","191,596","376,423","184,761","191,586","376,347",-66,-10,-76,"184,761","191,586","376,347","184,615","191,524","376,139",-146,-62,-208
