※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,2024년01월,,,,,,,,,2024년02월,,,,,,,,,2024년03월,,,,,,,,,2024년04월,,,,,,,,,2024년05월,,,,,,,,,2024년06월,,,,,,,,
,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,
행정기관코드,행정기관,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계
1000000000,전국  ,"25,565,736","25,759,593","51,325,329","25,558,944","25,754,968","51,313,912","-6,792","-4,625","-11,417","25,558,944","25,754,968","51,313,912","25,553,189","25,750,499","51,303,688","-5,755","-4,469","-10,224","25,553,189","25,750,499","51,303,688","25,547,370","25,746,564","51,293,934","-5,819","-3,935","-9,754","25,547,370","25,746,564","51,293,934","25,541,855","25,743,298","51,285,153","-5,515","-3,266","-8,781","25,541,855","25,743,298","51,285,153","25,536,793","25,740,554","51,277,347","-5,062","-2,744","-7,806","25,536,793","25,740,554","51,277,347","25,532,696","25,738,784","51,271,480","-4,097","-1,770","-5,867"
1100000000,서울특별시  ,"4,540,031","4,846,003","9,386,034","4,538,354","4,845,971","9,384,325","-1,677",-32,"-1,709","4,538,354","4,845,971","9,384,325","4,538,306","4,848,399","9,386,705",-48,"2,428","2,380","4,538,306","4,848,399","9,386,705","4,536,128","4,848,611","9,384,739","-2,178",212,"-1,966","4,536,128","4,848,611","9,384,739","4,532,115","4,846,154","9,378,269","-4,013","-2,457","-6,470","4,532,115","4,846,154","9,378,269","4,528,234","4,843,696","9,371,930","-3,881","-2,458","-6,339","4,528,234","4,843,696","9,371,930","4,524,862","4,841,421","9,366,283","-3,372","-2,275","-5,647"
1111000000,서울특별시 종로구 ,"67,306","72,111","139,417","67,240","72,138","139,378",-66,27,-39,"67,240","72,138","139,378","67,266","72,205","139,471",26,67,93,"67,266","72,205","139,471","67,228","72,270","139,498",-38,65,27,"67,228","72,270","139,498","67,138","72,294","139,432",-90,24,-66,"67,138","72,294","139,432","67,105","72,238","139,343",-33,-56,-89,"67,105","72,238","139,343","67,005","72,184","139,189",-100,-54,-154
1114000000,서울특별시 중구 ,"58,659","62,653","121,312","58,651","62,671","121,322",-8,18,10,"58,651","62,671","121,322","58,711","62,708","121,419",60,37,97,"58,711","62,708","121,419","58,767","62,835","121,602",56,127,183,"58,767","62,835","121,602","58,737","62,870","121,607",-30,35,5,"58,737","62,870","121,607","58,673","62,858","121,531",-64,-12,-76,"58,673","62,858","121,531","58,582","62,893","121,475",-91,35,-56
1117000000,서울특별시 용산구 ,"102,312","110,839","213,151","101,793","110,382","212,175",-519,-457,-976,"101,793","110,382","212,175","101,262","109,985","211,247",-531,-397,-928,"101,262","109,985","211,247","100,488","109,361","209,849",-774,-624,"-1,398","100,488","109,361","209,849","99,566","108,403","207,969",-922,-958,"-1,880","99,566","108,403","207,969","98,813","107,662","206,475",-753,-741,"-1,494","98,813","107,662","206,475","98,564","107,497","206,061",-249,-165,-414
1120000000,서울특별시 성동구 ,"134,519","142,842","277,361","134,390","142,700","277,090",-129,-142,-271,"134,390","142,700","277,090","134,278","142,674","276,952",-112,-26,-138,"134,278","142,674","276,952","134,232","142,732","276,964",-46,58,12,"134,232","142,732","276,964","134,161","142,686","276,847",-71,-46,-117,"134,161","142,686","276,847","134,096","142,671","276,767",-65,-15,-80,"134,096","142,671","276,767","133,939","142,658","276,597",-157,-13,-170
1121500000,서울특별시 광진구 ,"161,277","174,277","335,554","161,154","174,181","335,335",-123,-96,-219,"161,154","174,181","335,335","161,022","174,178","335,200",-132,-3,-135,"161,022","174,178","335,200","160,888","174,217","335,105",-134,39,-95,"160,888","174,217","335,105","160,670","174,120","334,790",-218,-97,-315,"160,670","174,120","334,790","160,473","173,948","334,421",-197,-172,-369,"160,473","173,948","334,421","160,329","173,830","334,159",-144,-118,-262
