※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,2025년07월,,,,,,2025년08월,,,,,,2025년09월,,,,,,2025년10월,,,,,,2025년11월,,,,,,2025년12월,,,,,
행정기관코드,행정기관,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
4167000000,경기도 여주시 ,"113,950","56,480",          2.02,"58,044","55,906",          1.04,"113,872","56,498",          2.02,"57,996","55,876",          1.04,"113,792","56,523",          2.01,"57,943","55,849",          1.04,"113,830","56,571",          2.01,"57,978","55,852",          1.04,"113,749","56,569",          2.01,"57,941","55,808",          1.04,"113,639","56,571",          2.01,"57,884","55,755",          1.04
4180000000,경기도 연천군 ,"40,819","21,761",          1.88,"21,343","19,476",          1.10,"40,811","21,753",          1.88,"21,318","19,493",          1.09,"40,825","21,757",          1.88,"21,316","19,509",          1.09,"41,149","21,897",          1.88,"21,490","19,659",          1.09,"41,779","22,155",          1.89,"21,826","19,953",          1.09,"42,141","22,333",          1.89,"22,030","20,111",          1.10
4182000000,경기도 가평군 ,"61,968","32,857",          1.89,"31,888","30,080",          1.06,"62,013","32,898",          1.89,"31,895","30,118",          1.06,"61,959","32,909",          1.88,"31,844","30,115",          1.06,"61,956","32,930",          1.88,"31,840","30,116",          1.06,"61,931","32,957",          1.88,"31,841","30,090",          1.06,"61,853","32,933",          1.88,"31,822","30,031",          1.06
4183000000,경기도 양평군 ,"126,199","63,000",          2.00,"63,297","62,902",          1.01,"126,486","63,066",          2.01,"63,609","62,877",          1.01,"126,532","63,120",          2.00,"63,660","62,872",          1.01,"126,614","63,226",          2.00,"63,727","62,887",          1.01,"126,481","63,259",          2.00,"63,570","62,911",          1.01,"126,304","63,266",          2.00,"63,437","62,867",          1.01
5100000000,강원특별자치도  ,"1,505,020","762,741",          1.97,"756,445","748,575",          1.01,"1,504,545","763,036",          1.97,"756,164","748,381",          1.01,"1,504,295","763,570",          1.97,"756,123","748,172",          1.01,"1,504,000","764,048",          1.97,"756,021","747,979",          1.01,"1,503,784","764,532",          1.97,"755,924","747,860",          1.01,"1,503,377","764,907",          1.97,"755,683","747,694",          1.01
5111000000,강원특별자치도 춘천시 ,"284,188","136,836",          2.08,"140,076","144,112",          0.97,"284,141","136,910",          2.08,"140,005","144,136",          0.97,"284,121","136,966",          2.07,"139,992","144,129",          0.97,"284,109","137,234",          2.07,"139,957","144,152",          0.97,"284,202","137,456",          2.07,"140,019","144,183",          0.97,"284,154","137,546",          2.07,"139,967","144,187",          0.97
5113000000,강원특별자치도 원주시 ,"361,197","174,051",          2.08,"178,736","182,461",          0.98,"361,393","174,230",          2.07,"178,820","182,573",          0.98,"361,517","174,461",          2.07,"178,892","182,625",          0.98,"361,632","174,619",          2.07,"178,973","182,659",          0.98,"361,715","174,855",          2.07,"179,019","182,696",          0.98,"361,841","175,055",          2.07,"179,066","182,775",          0.98
5115000000,강원특별자치도 강릉시 ,"206,248","104,390",          1.98,"102,088","104,160",          0.98,"206,241","104,496",          1.97,"102,110","104,131",          0.98,"206,304","104,607",          1.97,"102,177","104,127",          0.98,"206,152","104,587",          1.97,"102,084","104,068",          0.98,"205,816","104,506",          1.97,"101,891","103,925",          0.98,"205,580","104,520",          1.97,"101,762","103,818",          0.98
5117000000,강원특별자치도 동해시 ,"86,480","43,251",          2.00,"43,907","42,573",          1.03,"86,399","43,258",          2.00,"43,854","42,545",          1.03,"86,276","43,271",          1.99,"43,792","42,484",          1.03,"86,254","43,282",          1.99,"43,781","42,473",          1.03,"86,162","43,238",          1.99,"43,748","42,414",          1.03,"86,052","43,253",          1.99,"43,700","42,352",          1.03
5119000000,강원특별자치도 태백시 ,"37,388","20,113",          1.86,"18,891","18,497",          1.02,"37,326","20,103",          1.86,"18,864","18,462",          1.02,"37,267","20,084",          1.86,"18,824","18,443",          1.02,"37,197","20,059",          1.85,"18,792","18,405",          1.02,"37,026","19,978",          1.85,"18,692","18,334",          1.02,"36,989","19,979",          1.85,"18,668","18,321",          1.02
5121000000,강원특별자치도 속초시 ,"79,764","40,918",          1.95,"39,374","40,390",          0.97,"79,695","40,882",          1.95,"39,362","40,333",          0.98,"79,608","40,896",          1.95,"39,341","40,267",          0.98,"79,476","40,893",          1.94,"39,270","40,206",          0.98,"79,401","40,894",          1.94,"39,240","40,161",          0.98,"79,281","40,839",          1.94,"39,184","40,097",          0.98
