※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,2026년01월,,,,,,2026년02월,,,,,,2026년03월,,,,,,2026년04월,,,,,
행정기관코드,행정기관,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
4677000000,전라남도 고흥군 ,"59,238","34,962",          1.69,"29,333","29,905",          0.98,"59,159","34,954",          1.69,"29,302","29,857",          0.98,"59,040","34,950",          1.69,"29,274","29,766",          0.98,"58,977","34,952",          1.69,"29,275","29,702",          0.99
4678000000,전라남도 보성군 ,"36,880","21,706",          1.70,"18,127","18,753",          0.97,"36,748","21,671",          1.70,"18,076","18,672",          0.97,"36,658","21,668",          1.69,"18,027","18,631",          0.97,"36,616","21,636",          1.69,"18,005","18,611",          0.97
4679000000,전라남도 화순군 ,"60,039","31,485",          1.91,"29,763","30,276",          0.98,"59,996","31,508",          1.90,"29,735","30,261",          0.98,"59,962","31,522",          1.90,"29,725","30,237",          0.98,"59,911","31,520",          1.90,"29,681","30,230",          0.98
4680000000,전라남도 장흥군 ,"34,052","19,608",          1.74,"16,779","17,273",          0.97,"34,013","19,604",          1.74,"16,772","17,241",          0.97,"33,987","19,591",          1.73,"16,770","17,217",          0.97,"33,962","19,595",          1.73,"16,756","17,206",          0.97
4681000000,전라남도 강진군 ,"31,764","18,089",          1.76,"15,594","16,170",          0.96,"31,719","18,073",          1.76,"15,577","16,142",          0.96,"31,736","18,110",          1.75,"15,584","16,152",          0.96,"31,747","18,122",          1.75,"15,600","16,147",          0.97
4682000000,전라남도 해남군 ,"62,053","34,293",          1.81,"31,198","30,855",          1.01,"62,027","34,328",          1.81,"31,190","30,837",          1.01,"61,995","34,386",          1.80,"31,186","30,809",          1.01,"62,013","34,430",          1.80,"31,214","30,799",          1.01
4683000000,전라남도 영암군 ,"49,920","28,262",          1.77,"26,240","23,680",          1.11,"49,929","28,260",          1.77,"26,279","23,650",          1.11,"49,909","28,293",          1.76,"26,297","23,612",          1.11,"49,935","28,328",          1.76,"26,306","23,629",          1.11
4684000000,전라남도 무안군 ,"95,543","46,305",          2.06,"48,063","47,480",          1.01,"95,530","46,355",          2.06,"48,043","47,487",          1.01,"95,567","46,457",          2.06,"48,088","47,479",          1.01,"95,648","46,541",          2.06,"48,137","47,511",          1.01
4686000000,전라남도 함평군 ,"29,325","17,492",          1.68,"14,983","14,342",          1.04,"29,255","17,473",          1.67,"14,955","14,300",          1.05,"29,250","17,466",          1.67,"14,957","14,293",          1.05,"29,319","17,563",          1.67,"14,996","14,323",          1.05
4687000000,전라남도 영광군 ,"53,618","28,564",          1.88,"26,861","26,757",          1.00,"53,711","28,578",          1.88,"26,919","26,792",          1.00,"53,862","28,619",          1.88,"27,007","26,855",          1.01,"53,872","28,638",          1.88,"26,997","26,875",          1.00
4688000000,전라남도 장성군 ,"42,894","23,466",          1.83,"21,990","20,904",          1.05,"42,921","23,479",          1.83,"22,030","20,891",          1.05,"42,903","23,481",          1.83,"22,034","20,869",          1.06,"42,909","23,496",          1.83,"22,045","20,864",          1.06
4689000000,전라남도 완도군 ,"44,435","24,979",          1.78,"22,541","21,894",          1.03,"44,319","24,952",          1.78,"22,502","21,817",          1.03,"44,240","24,927",          1.77,"22,481","21,759",          1.03,"44,178","24,896",          1.77,"22,461","21,717",          1.03
4690000000,전라남도 진도군 ,"27,854","16,268",          1.71,"13,974","13,880",          1.01,"27,851","16,271",          1.71,"13,994","13,857",          1.01,"27,851","16,290",          1.71,"14,004","13,847",          1.01,"27,850","16,303",          1.71,"14,027","13,823",          1.01
4691000000,전라남도 신안군 ,"41,768","22,317",          1.87,"22,374","19,394",          1.15,"41,807","22,368",          1.87,"22,416","19,391",          1.16,"41,963","22,350",          1.88,"22,496","19,467",          1.16,"42,042","22,384",          1.88,"22,576","19,466",          1.16
4700000000,경상북도  ,"2,496,968","1,289,777",          1.94,"1,262,901","1,234,067",          1.02,"2,493,977","1,290,652",          1.93,"1,261,556","1,232,421",          1.02,"2,492,899","1,294,092",          1.93,"1,261,662","1,231,237",          1.02,"2,491,969","1,295,909",          1.92,"1,261,277","1,230,692",          1.02
4711000000,경상북도 포항시 ,"487,444","237,854",          2.05,"246,996","240,448",          1.03,"487,209","238,239",          2.05,"246,859","240,350",          1.03,"486,573","238,446",          2.04,"246,509","240,064",          1.03,"486,196","238,602",          2.04,"246,236","239,960",          1.03
4711100000,경상북도 포항시 남구 ,"214,282","108,106",          1.98,"111,089","103,193",          1.08,"213,912","108,173",          1.98,"110,903","103,009",          1.08,"213,391","108,183",          1.97,"110,662","102,729",          1.08,"213,009","108,183",          1.97,"110,413","102,596",          1.08
4711300000,경상북도 포항시 북구 ,"273,162","129,748",          2.11,"135,907","137,255",          0.99,"273,297","130,066",          2.10,"135,956","137,341",          0.99,"273,182","130,263",          2.10,"135,847","137,335",          0.99,"273,187","130,419",          2.09,"135,823","137,364",          0.99
4713000000,경상북도 경주시 ,"242,990","125,823",          1.93,"121,569","121,421",          1.00,"242,686","125,909",          1.93,"121,467","121,219",          1.00,"242,510","126,150",          1.92,"121,408","121,102",          1.00,"242,421","126,264",          1.92,"121,355","121,066",          1.00
4715000000,경상북도 김천시 ,"133,140","68,682",          1.94,"67,002","66,138",          1.01,"132,778","68,553",          1.94,"66,812","65,966",          1.01,"132,848","68,897",          1.93,"66,978","65,870",          1.02,"132,758","68,948",          1.93,"66,924","65,834",          1.02
