※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
,,2026년01월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026년02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026년03월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,계,,,,,,,,,,,,,남,,,,,,,,,,,,,여,,,,,,,,,,,,,계,,,,,,,,,,,,,남,,,,,,,,,,,,,여,,,,,,,,,,,,,계,,,,,,,,,,,,,남,,,,,,,,,,,,,여,,,,,,,,,,,,
행정기관코드,행정기관,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,여 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
1126000000,서울특별시 중랑구 ,"375,109","375,109","16,547","23,062","44,779","58,575","50,328","61,207","63,778","38,158","16,340","2,281",54,"182,983","182,983","8,409","11,881","21,077","29,788","26,187","30,091","30,880","17,443","6,615",605,7,"192,126","192,126","8,138","11,181","23,702","28,787","24,141","31,116","32,898","20,715","9,725","1,676",47,"375,077","375,077","16,385","23,085","44,748","58,525","50,228","61,116","63,880","38,385","16,367","2,304",54,"182,877","182,877","8,329","11,877","21,018","29,751","26,130","30,062","30,921","17,544","6,621",616,8,"192,200","192,200","8,056","11,208","23,730","28,774","24,098","31,054","32,959","20,841","9,746","1,688",46,"374,876","374,876","16,287","23,038","44,495","58,728","50,069","60,767","64,006","38,634","16,456","2,339",57,"182,757","182,757","8,277","11,828","20,889","29,863","26,025","29,903","30,987","17,684","6,659",634,8,"192,119","192,119","8,010","11,210","23,606","28,865","24,044","30,864","33,019","20,950","9,797","1,705",49
1129000000,서울특별시 성북구 ,"419,522","419,522","21,344","33,655","62,189","56,623","59,197","69,998","58,029","37,193","18,471","2,764",59,"200,414","200,414","11,013","17,014","28,945","28,326","29,209","34,301","27,252","16,321","7,241",781,11,"219,108","219,108","10,331","16,641","33,244","28,297","29,988","35,697","30,777","20,872","11,230","1,983",48,"419,929","419,929","21,223","34,098","62,195","56,493","59,074","70,061","58,081","37,353","18,491","2,798",62,"200,595","200,595","10,969","17,131","29,023","28,263","29,155","34,315","27,282","16,400","7,248",796,13,"219,334","219,334","10,254","16,967","33,172","28,230","29,919","35,746","30,799","20,953","11,243","2,002",49,"420,178","420,178","21,171","34,286","62,195","56,664","58,856","69,888","58,043","37,581","18,580","2,854",60,"200,518","200,518","10,939","17,149","28,977","28,302","29,055","34,204","27,303","16,506","7,264",807,12,"219,660","219,660","10,232","17,137","33,218","28,362","29,801","35,684","30,740","21,075","11,316","2,047",48
1130500000,서울특별시 강북구 ,"276,750","276,750","9,525","17,767","33,926","34,115","35,764","47,967","47,184","32,366","16,061","2,036",39,"132,973","132,973","4,825","9,076","15,696","17,858","18,612","23,696","22,410","13,961","6,228",607,4,"143,777","143,777","4,700","8,691","18,230","16,257","17,152","24,271","24,774","18,405","9,833","1,429",35,"276,794","276,794","9,489","17,838","33,812","34,050","35,710","47,982","47,209","32,501","16,092","2,069",42,"132,970","132,970","4,805","9,063","15,649","17,825","18,618","23,695","22,411","14,037","6,246",614,7,"143,824","143,824","4,684","8,775","18,163","16,225","17,092","24,287","24,798","18,464","9,846","1,455",35,"276,786","276,786","9,428","17,864","33,737","34,116","35,591","47,814","47,295","32,655","16,138","2,105",43,"132,863","132,863","4,771","9,046","15,549","17,848","18,571","23,627","22,469","14,091","6,256",628,7,"143,923","143,923","4,657","8,818","18,188","16,268","17,020","24,187","24,826","18,564","9,882","1,477",36
1132000000,서울특별시 도봉구 ,"297,739","297,739","11,716","21,115","33,013","36,997","39,248","51,409","52,798","33,247","15,777","2,349",70,"143,580","143,580","6,102","10,955","16,106","19,017","19,739","24,670","24,693","15,315","6,318",651,14,"154,159","154,159","5,614","10,160","16,907","17,980","19,509","26,739","28,105","17,932","9,459","1,698",56,"297,508","297,508","11,635","21,063","32,873","36,883","39,146","51,347","52,835","33,447","15,834","2,375",70,"143,478","143,478","6,049","10,938","16,058","18,940","19,706","24,649","24,707","15,418","6,336",662,15,"154,030","154,030","5,586","10,125","16,815","17,943","19,440","26,698","28,128","18,029","9,498","1,713",55,"297,295","297,295","11,558","21,072","32,746","36,888","38,964","51,195","52,860","33,668","15,877","2,395",72,"143,294","143,294","5,998","10,952","15,972","18,934","19,606","24,602","24,707","15,475","6,363",670,15,"154,001","154,001","5,560","10,120","16,774","17,954","19,358","26,593","28,153","18,193","9,514","1,725",57
1135000000,서울특별시 노원구 ,"480,303","480,303","22,734","43,744","60,463","60,872","68,325","83,159","71,956","44,900","20,608","3,459",83,"229,666","229,666","11,679","22,623","30,389","30,741","32,735","39,890","33,323","19,806","7,579",885,16,"250,637","250,637","11,055","21,121","30,074","30,131","35,590","43,269","38,633","25,094","13,029","2,574",67,"480,143","480,143","22,707","43,827","60,183","60,715","68,361","83,038","71,955","45,183","20,612","3,480",82,"229,609","229,609","11,667","22,628","30,300","30,661","32,784","39,817","33,337","19,911","7,585",904,15,"250,534","250,534","11,040","21,199","29,883","30,054","35,577","43,221","38,618","25,272","13,027","2,576",67,"480,352","480,352","22,639","44,110","60,277","60,936","68,078","82,600","71,991","45,434","20,670","3,534",83,"229,727","229,727","11,617","22,785","30,359","30,769","32,657","39,626","33,345","20,010","7,619",925,15,"250,625","250,625","11,022","21,325","29,918","30,167","35,421","42,974","38,646","25,424","13,051","2,609",68
1138000000,서울특별시 은평구 ,"452,115","452,115","20,276","33,460","55,416","66,486","63,909","76,001","68,391","43,992","21,168","2,950",66,"213,803","213,803","10,469","17,017","25,706","32,424","31,492","36,560","31,747","19,049","8,426",897,16,"238,312","238,312","9,807","16,443","29,710","34,062","32,417","39,441","36,644","24,943","12,742","2,053",50,"451,605","451,605","20,092","33,343","55,208","66,341","63,747","75,942","68,427","44,259","21,182","2,994",70,"213,496","213,496","10,369","16,967","25,605","32,315","31,418","36,507","31,765","19,200","8,418",916,16,"238,109","238,109","9,723","16,376","29,603","34,026","32,329","39,435","36,662","25,059","12,764","2,078",54,"451,385","451,385","20,047","33,276","54,933","66,508","63,497","75,772","68,465","44,526","21,239","3,055",67,"213,364","213,364","10,347","16,906","25,471","32,387","31,290","36,467","31,776","19,334","8,443",926,17,"238,021","238,021","9,700","16,370","29,462","34,121","32,207","39,305","36,689","25,192","12,796","2,129",50
1141000000,서울특별시 서대문구 ,"297,580","297,580","15,105","21,582","44,501","44,761","41,619","47,076","41,291","25,676","13,789","2,130",50,"140,604","140,604","7,742","10,713","20,269","22,043","20,480","22,857","19,401","11,161","5,273",656,9,"156,976","156,976","7,363","10,869","24,232","22,718","21,139","24,219","21,890","14,515","8,516","1,474",41,"297,813","297,813","15,026","21,755","44,571","44,651","41,610","47,055","41,366","25,778","13,788","2,163",50,"140,617","140,617","7,677","10,763","20,292","21,976","20,469","22,828","19,470","11,194","5,281",658,9,"157,196","157,196","7,349","10,992","24,279","22,675","21,141","24,227","21,896","14,584","8,507","1,505",41,"298,233","298,233","14,948","21,874","44,692","44,883","41,490","46,964","41,411","25,932","13,794","2,198",47,"140,635","140,635","7,635","10,816","20,266","22,059","20,401","22,737","19,513","11,242","5,291",666,9,"157,598","157,598","7,313","11,058","24,426","22,824","21,089","24,227","21,898","14,690","8,503","1,532",38
1144000000,서울특별시 마포구 ,"354,230","354,230","18,147","25,628","54,108","64,153","53,934","55,027","42,097","25,340","13,549","2,206",41,"164,368","164,368","9,285","12,784","23,328","30,127","25,879","26,642","19,779","10,718","5,165",658,3,"189,862","189,862","8,862","12,844","30,780","34,026","28,055","28,385","22,318","14,622","8,384","1,548",38,"354,161","354,161","18,037","25,696","54,060","63,989","53,943","55,038","42,104","25,490","13,544","2,221",39,"164,286","164,286","9,239","12,824","23,249","30,043","25,904","26,614","19,783","10,809","5,150",668,3,"189,875","189,875","8,798","12,872","30,811","33,946","28,039","28,424","22,321","14,681","8,394","1,553",36,"353,997","353,997","17,953","25,669","53,939","64,147","53,707","54,946","42,096","25,710","13,546","2,240",44,"164,245","164,245","9,198","12,812","23,201","30,131","25,818","26,550","19,807","10,892","5,162",669,5,"189,752","189,752","8,755","12,857","30,738","34,016","27,889","28,396","22,289","14,818","8,384","1,571",39
1147000000,서울특별시 양천구 ,"422,257","422,257","22,525","46,189","46,311","51,449","68,870","71,289","61,777","37,648","13,950","2,187",62,"205,412","205,412","11,536","23,900","23,136","25,574","33,037","35,158","29,358","17,555","5,617",533,8,"216,845","216,845","10,989","22,289","23,175","25,875","35,833","36,131","32,419","20,093","8,333","1,654",54,"422,155","422,155","22,616","46,055","46,025","51,356","69,000","71,122","61,832","37,878","13,998","2,209",64,"205,380","205,380","11,601","23,814","22,983","25,524","33,123","35,109","29,373","17,664","5,637",544,8,"216,775","216,775","11,015","22,241","23,042","25,832","35,877","36,013","32,459","20,214","8,361","1,665",56,"421,364","421,364","22,517","45,871","45,678","51,428","68,662","70,862","61,807","38,168","14,078","2,231",62,"204,922","204,922","11,561","23,666","22,814","25,525","32,982","34,983","29,368","17,793","5,674",548,8,"216,442","216,442","10,956","22,205","22,864","25,903","35,680","35,879","32,439","20,375","8,404","1,683",54
1150000000,서울특별시 강서구 ,"546,456","546,456","26,503","39,997","70,997","95,833","81,019","80,634","78,294","50,177","19,656","3,252",94,"260,873","260,873","13,605","20,431","31,597","47,591","40,725","39,484","35,943","22,741","7,898",845,13,"285,583","285,583","12,898","19,566","39,400","48,242","40,294","41,150","42,351","27,436","11,758","2,407",81,"545,970","545,970","26,368","39,865","70,688","95,572","81,034","80,601","78,266","50,459","19,737","3,287",93,"260,526","260,526","13,559","20,354","31,362","47,446","40,759","39,408","35,961","22,875","7,937",851,14,"285,444","285,444","12,809","19,511","39,326","48,126","40,275","41,193","42,305","27,584","11,800","2,436",79,"545,913","545,913","26,271","39,819","70,334","95,986","80,759","80,378","78,256","50,890","19,796","3,332",92,"260,454","260,454","13,514","20,329","31,223","47,658","40,593","39,313","35,947","23,032","7,954",877,14,"285,459","285,459","12,757","19,490","39,111","48,328","40,166","41,065","42,309","27,858","11,842","2,455",78
